X,Y,hoogte,datum
132010.93,399671.8,13,dec 2020 - feb 2021
131769.08,399513.81,13.3,dec 2020 - feb 2021
131406.25,399276.3,13.7,08-12-2020
131285.27,399196.76,14.7,08-12-2020
131043.38,399038.81,13.2,08-12-2020
130922.39,398959.28,13.2,08-12-2020
130801.47,398880.87,13.1,08-12-2020
130438.55,398643.43,12.8,08-12-2020
130196.6,398484.4,12.5,08-12-2020
130075.58,398404.9,11.2,08-12-2020
129954.64,398326.5,11.1,dec 2020 - feb 2021
129833.62,398247,11.3,dec 2020 - feb 2021
129739.51,398185.17,10.9,dec 2020 - feb 2021
129618.72,398140.16,10,dec 2020 - feb 2021
129497.86,398095.16,9.9,dec 2020 - feb 2021
129470.7,398085.28,10.4,dec 2020 - feb 2021
129349.7,397998,9.4,dec 2020 - feb 2021
129255.69,397930.62,8.8,dec 2020 - feb 2021
129134.73,397867.82,10.9,25-02-2021
129013.84,397806.14,10.6,25-02-2021
128892.89,397744.46,10.2,25-02-2021
128771.92,397681.67,8.8,25-02-2021
128530.06,397558.33,11,25-02-2021
128409.15,397495.55,11.5,25-02-2021
128288.18,397433.88,11.7,01-02-2021
128167.2,397372.22,11.4,01-02-2021
128046.29,397309.45,12.6,01-02-2021
127925.3,397247.79,11.7,01-02-2021
127804.39,397186.14,11.2,01-02-2021
127683.39,397123.38,10.4,01-02-2021
127562.4,397061.73,10.4,01-02-2021
127441.48,397000.09,9.1,01-02-2021
127320.48,396937.33,9.1,01-02-2021
127199.55,396875.7,10.3,01-02-2021
127078.54,396814.06,10.3,01-02-2021
126957.53,396751.31,10.5,01-02-2021
126836.59,396689.68,10.9,01-02-2021
126715.58,396628.06,11.4,01-02-2021
126594.63,396565.32,11.2,01-02-2021
126473.61,396503.7,11.9,01-02-2021
126352.59,396442.08,11.5,25-02-2021
126231.63,396379.36,10.9,25-02-2021
126110.6,396317.74,10.3,25-02-2021